"APID","Mnemonic","Long Name","Group","Description","Data Bytes","Variable Size"
2000,"OMG_MGR","ODY Manager","ODySSy Manager","ODY Manager",16,"False"
2999,"OER_ODY_SIMERROR","ODY Pointing Error","ODySSy Pointing Error","ODY_SimError Description",192,"False"
2250,"OVS_ODY_VEHICLESTATE","ODY Vehicle State","ODySSy Vehicle State","ODY_VehicleState Description",208,"False"
4100,"OPL0_SOLIS_DATA_PAYLOAD","ODY Payload 1","ODySSy Data Management","SOLIS_Data_Payload Description",16,"False"
243,"OAM3_OSC_ACTMDL_MT","ODY MagCoil_Mx","ODySSy Actuator Model","OSC_ActMdl_MT Description",32,"False"
244,"OAM4_OSC_ACTMDL_MT","ODY MagCoil_My","ODySSy Actuator Model","OSC_ActMdl_MT Description",32,"False"
241,"OAM1_OSC_ACTMDL_MT","ODY MagCoil_Mz","ODySSy Actuator Model","OSC_ActMdl_MT Description",32,"False"
242,"OAM2_OSC_ACTMDL_MT","ODY MagCoil_Px","ODySSy Actuator Model","OSC_ActMdl_MT Description",32,"False"
240,"OAM0_OSC_ACTMDL_MT","ODY MagCoil_Py","ODySSy Actuator Model","OSC_ActMdl_MT Description",32,"False"
212,"OAR2_OSC_ACTMDL_RW","ODY RW_Mz","ODySSy Actuator Model","OSC_ActMdl_RW Description",80,"False"
210,"OAR0_OSC_ACTMDL_RW","ODY RW_Px","ODySSy Actuator Model","OSC_ActMdl_RW Description",80,"False"
211,"OAR1_OSC_ACTMDL_RW","ODY RW_Py","ODySSy Actuator Model","OSC_ActMdl_RW Description",80,"False"
161,"OGP0_OSC_SENMDL_GPS","ODY GPS","ODySSy Sensor Model","OSC_SenMdl_GPS Description",64,"False"
141,"OSM0_OSC_SENMDL_MAG","ODY Mag_FCHMC","ODySSy Sensor Model","OSC_SenMdl_MAG Description",32,"False"
101,"OSR0_OSC_SENMDL_RTE","ODY MPU_X","ODySSy Sensor Model","OSC_SenMdl_RTE Description",24,"False"
102,"OSR1_OSC_SENMDL_RTE","ODY MPU_Y","ODySSy Sensor Model","OSC_SenMdl_RTE Description",24,"False"
103,"OSR2_OSC_SENMDL_RTE","ODY MPU_Z","ODySSy Sensor Model","OSC_SenMdl_RTE Description",24,"False"
121,"OST0_OSC_SENMDL_STR","ODY Sinclair_STR","ODySSy Sensor Model","OSC_SenMdl_STR Description",48,"False"
131,"OSS0_OSC_SENMDL_SUN","ODY SunSens_Mx","ODySSy Sensor Model","OSC_SenMdl_SUN Description",32,"False"
133,"OSS2_OSC_SENMDL_SUN","ODY SunSens_My","ODySSy Sensor Model","OSC_SenMdl_SUN Description",32,"False"
135,"OSS4_OSC_SENMDL_SUN","ODY SunSens_Mz","ODySSy Sensor Model","OSC_SenMdl_SUN Description",32,"False"
132,"OSS1_OSC_SENMDL_SUN","ODY SunSens_Px","ODySSy Sensor Model","OSC_SenMdl_SUN Description",32,"False"
134,"OSS3_OSC_SENMDL_SUN","ODY SunSens_Py","ODySSy Sensor Model","OSC_SenMdl_SUN Description",32,"False"
1000,"STK_STK_DATAHANDLER","STK","SOLIS Simulation","STK_DataHandler Description",272,"False"
5000,"CMD_HIST_MGR","Command History Manager","Command & Data Handling","Command History Manager",16,"False"
5200,"EVR_MGR","Event Reporting Manager","Command & Data Handling","Event Reporting Manager",512,"True"
5100,"MISC_MGR","Misc Manager","Command & Data Handling","Misc Manager",136,"False"
5600,"PLD_REC_PKT_TLM","Payload Rec Pkt Tlm","Command & Data Handling","Payload Recorded Packet Tlm",80,"False"
10000,"TLM_MON_FP_SS","Telemetry Monitor","Telemetry Monitor","Telemetry Monitor For Sub-system",576,"False"
5700,"RT_TLM_COMM","Real-Time Telmetry","Command & Data Handling","Real-Time Telmetry Communications",8,"False"
1052,"CMD_TLM_CMD_MGR","Cmd & Tlm Cmd Manager","Command Sequencing","Cmd & Tlm Command Manager",16,"False"
1053,"CMD_TLM_TIME_MGR","Cmd & Tlm Time Manager","Command Sequencing","Cmd & Tlm Time Manager",48,"False"
1082,"EPS_CMD_MGR","EPS Cmd Manager","Command & Data Handling","EPS Command Manager",16,"False"
1083,"EPS_TIME_MGR","EPS Time Manager","Command & Data Handling","EPS Time Manager",48,"False"
2500,"OPW_MDL","ODY Power Model","ODySSy Power Thermal","ODY Power Model",80,"False"
2706,"OPP3_PANEL","ODY SP_mX","ODySSy Power Thermal","ODY SP_mX ThermalSolar Panel",136,"False"
2702,"OPP1_PANEL","ODY SP_mY","ODySSy Power Thermal","ODY SP_mY ThermalSolar Panel",136,"False"
2704,"OPP2_PANEL","ODY SP_pX","ODySSy Power Thermal","ODY SP_pX ThermalSolar Panel",136,"False"
2700,"OPP0_PANEL","ODY SP_pY","ODySSy Power Thermal","ODY SP_pY ThermalSolar Panel",136,"False"
60030,"FDM_FDL_DATA","File Download Data","Command & Data Handling","File Download Data",536,"True"
7200,"FDM_FDL_MGR","File Download Manager","Command & Data Handling","File Download Manager",168,"False"
7100,"FUM_FUL_MGR","File Upload","Command & Data Handling","File Upload Manager",80,"False"
60002,"FILE_CMD_MGR","File Cmd Manager","Command & Data Handling","File Command Manager",16,"False"
60003,"FILE_TIME_MGR","File Time Manager","Command & Data Handling","File Time Manager",48,"False"
1012,"HWIO_CMD_MGR","HWIO Cmd Manager","Command & Data Handling","HWIO Command Manager",16,"False"
1013,"HWIO_TIME_MGR","HWIO Time Manager","Command & Data Handling","HWIO Time Manager",48,"False"
1062,"PLD_CMD_MGR","Payloads Cmd Manager","Command & Data Handling","Payloads Command Manager",16,"False"
1063,"PLD_TIME_MGR","Payloads Time Manager","Command & Data Handling","Payloads Time Manager",48,"False"
6100,"FJ_MGR","Sequence Engine","Command Sequencing","Sequence Engine Manager",12,"False"
9010,"FJ_ENG_00","Sequence Engine Engine 00","Command Sequencing","Sequence Engine Engine 00",200,"False"
9011,"FJ_ENG_01","Sequence Engine Engine 01","Command Sequencing","Sequence Engine Engine 01",200,"False"
9012,"FJ_ENG_02","Sequence Engine Engine 02","Command Sequencing","Sequence Engine Engine 02",200,"False"
9013,"FJ_ENG_03","Sequence Engine Engine 03","Command Sequencing","Sequence Engine Engine 03",200,"False"
9014,"FJ_ENG_04","Sequence Engine Engine 04","Command Sequencing","Sequence Engine Engine 04",200,"False"
9015,"FJ_ENG_05","Sequence Engine Engine 05","Command Sequencing","Sequence Engine Engine 05",200,"False"
9016,"FJ_ENG_06","Sequence Engine Engine 06","Command Sequencing","Sequence Engine Engine 06",200,"False"
9017,"FJ_ENG_07","Sequence Engine Engine 07","Command Sequencing","Sequence Engine Engine 07",200,"False"
9018,"FJ_ENG_08","Sequence Engine Engine 08","Command Sequencing","Sequence Engine Engine 08",200,"False"
9019,"FJ_ENG_09","Sequence Engine Engine 09","Command Sequencing","Sequence Engine Engine 09",200,"False"
9020,"FJ_ENG_10","Sequence Engine Engine 10","Command Sequencing","Sequence Engine Engine 10",200,"False"
9021,"FJ_ENG_11","Sequence Engine Engine 11","Command Sequencing","Sequence Engine Engine 11",200,"False"
9022,"FJ_ENG_12","Sequence Engine Engine 12","Command Sequencing","Sequence Engine Engine 12",200,"False"
9023,"FJ_ENG_13","Sequence Engine Engine 13","Command Sequencing","Sequence Engine Engine 13",200,"False"
9024,"FJ_ENG_14","Sequence Engine Engine 14","Command Sequencing","Sequence Engine Engine 14",200,"False"
9025,"FJ_ENG_15","Sequence Engine Engine 15","Command Sequencing","Sequence Engine Engine 15",200,"False"
9026,"FJ_ENG_16","Sequence Engine Engine 16","Command Sequencing","Sequence Engine Engine 16",200,"False"
9027,"FJ_ENG_17","Sequence Engine Engine 17","Command Sequencing","Sequence Engine Engine 17",200,"False"
9028,"FJ_ENG_18","Sequence Engine Engine 18","Command Sequencing","Sequence Engine Engine 18",200,"False"
9029,"FJ_ENG_19","Sequence Engine Engine 19","Command Sequencing","Sequence Engine Engine 19",200,"False"
9030,"FJ_ENG_20","Sequence Engine Engine 20","Command Sequencing","Sequence Engine Engine 20",200,"False"
9031,"FJ_ENG_21","Sequence Engine Engine 21","Command Sequencing","Sequence Engine Engine 21",200,"False"
9032,"FJ_ENG_22","Sequence Engine Engine 22","Command Sequencing","Sequence Engine Engine 22",200,"False"
9033,"FJ_ENG_23","Sequence Engine Engine 23","Command Sequencing","Sequence Engine Engine 23",200,"False"
9034,"FJ_ENG_24","Sequence Engine Engine 24","Command Sequencing","Sequence Engine Engine 24",200,"False"
9035,"FJ_ENG_25","Sequence Engine Engine 25","Command Sequencing","Sequence Engine Engine 25",200,"False"
9036,"FJ_ENG_26","Sequence Engine Engine 26","Command Sequencing","Sequence Engine Engine 26",200,"False"
9037,"FJ_ENG_27","Sequence Engine Engine 27","Command Sequencing","Sequence Engine Engine 27",200,"False"
9038,"FJ_ENG_28","Sequence Engine Engine 28","Command Sequencing","Sequence Engine Engine 28",200,"False"
9039,"FJ_ENG_29","Sequence Engine Engine 29","Command Sequencing","Sequence Engine Engine 29",200,"False"
9040,"FJ_ENG_30","Sequence Engine Engine 30","Command Sequencing","Sequence Engine Engine 30",200,"False"
9041,"FJ_ENG_31","Sequence Engine Engine 31","Command Sequencing","Sequence Engine Engine 31",200,"False"
9042,"FJ_ENG_32","Sequence Engine Engine 32","Command Sequencing","Sequence Engine Engine 32",200,"False"
9043,"FJ_ENG_33","Sequence Engine Engine 33","Command Sequencing","Sequence Engine Engine 33",200,"False"
9044,"FJ_ENG_34","Sequence Engine Engine 34","Command Sequencing","Sequence Engine Engine 34",200,"False"
9045,"FJ_ENG_35","Sequence Engine Engine 35","Command Sequencing","Sequence Engine Engine 35",200,"False"
9046,"FJ_ENG_36","Sequence Engine Engine 36","Command Sequencing","Sequence Engine Engine 36",200,"False"
9047,"FJ_ENG_37","Sequence Engine Engine 37","Command Sequencing","Sequence Engine Engine 37",200,"False"
9048,"FJ_ENG_38","Sequence Engine Engine 38","Command Sequencing","Sequence Engine Engine 38",200,"False"
9049,"FJ_ENG_39","Sequence Engine Engine 39","Command Sequencing","Sequence Engine Engine 39",200,"False"
9050,"FJ_ENG_40","Sequence Engine Engine 40","Command Sequencing","Sequence Engine Engine 40",200,"False"
9051,"FJ_ENG_41","Sequence Engine Engine 41","Command Sequencing","Sequence Engine Engine 41",200,"False"
9052,"FJ_ENG_42","Sequence Engine Engine 42","Command Sequencing","Sequence Engine Engine 42",200,"False"
9053,"FJ_ENG_43","Sequence Engine Engine 43","Command Sequencing","Sequence Engine Engine 43",200,"False"
9054,"FJ_ENG_44","Sequence Engine Engine 44","Command Sequencing","Sequence Engine Engine 44",200,"False"
9055,"FJ_ENG_45","Sequence Engine Engine 45","Command Sequencing","Sequence Engine Engine 45",200,"False"
9056,"FJ_ENG_46","Sequence Engine Engine 46","Command Sequencing","Sequence Engine Engine 46",200,"False"
9057,"FJ_ENG_47","Sequence Engine Engine 47","Command Sequencing","Sequence Engine Engine 47",200,"False"
9058,"FJ_ENG_48","Sequence Engine Engine 48","Command Sequencing","Sequence Engine Engine 48",200,"False"
9059,"FJ_ENG_49","Sequence Engine Engine 49","Command Sequencing","Sequence Engine Engine 49",200,"False"
1072,"SEQ_CMD_MGR","Sequence Engine Cmd Manager","Command Sequencing","Sequence Engine Command Manager",16,"False"
1073,"SEQ_TIME_MGR","Sequence Engine Time Manager","Command Sequencing","Sequence Engine Time Manager",48,"False"
4000,"TIME_MB","Time","Command & Data Handling","Time Master Basic",24,"False"
1092,"TM_CMD_MGR","Time Cmd Manager","Command & Data Handling","Time Command Manager",16,"False"
1093,"TM_TIME_MGR","Time Time Manager","Command & Data Handling","Time Time Manager",48,"False"
