"Function Code","Mnemonic","Long Name","Group","Number Of Parameters","Data Field Length Bytes","Description","Variable Size"
0x2580007,"ATD_DISABLE_AD","Attitude Determination Prevent AD Initialization","Attitude Determination","0","0","Prevent attitude determination from initializing","False"
0x2580008,"ATD_FULL_KF_RESET","Attitude Determination Full Kalman Filter Reset","Attitude Determination","0","0","Reset the covariance states of the Kalman Filter","False"
0x2580009,"ATD_PARTIAL_KF_RESET","Attitude Determination Partial Kalman Filter Reset","Attitude Determination","0","0","Reset the rate bias covariance states of the Kalman Filter","False"
0x258000a,"ATD_RESET_ALL_REJECT_COUNT","Attitude Determination Reset All Rejected Measurement Counters","Attitude Determination","0","0","Reset all rejected measurement counters","False"
0x258000b,"ATD_RESET_SENSOR_REJECT_COUNT","Attitude Determination Reset Rejected Measurement Count for Sensor","Attitude Determination","1","4","Reset rejected measurement counter for a specific sensor","False"
0x3a20000,"CAT_RESET","Attitude Control RESET","Control","0","0","Reset all the integrals and filters in the active controller","False"
0x38e0000,"CMC_SET_STATE","Momentum Control SET_STATE","Control","1","4","Set the momentum controller state","False"
0x38e0001,"CMC_START_DESAT","Momentum Control START_DESAT","Control","0","0","If (m_Parm.B_ContinuousControl = false) forces desaturation to start regardless of momentum state relative to threshold value","False"
0x38e0002,"CMC_STOP_DESAT","Momentum Control STOP_DESAT","Control","0","0","If (m_Parm.B_ContinuousControl = false) forces desaturation to stop regardless of momentum state relative to threshold value","False"
0x2620000,"EPH_ADD_ENTRY","Ephemeris Add Table Entry","Ephemeris","8","64","Add an ephemeris entry to a table","False"
0x2620001,"EPH_REMOVE_ENTRY","Ephemeris Remove Table Entry","Ephemeris","2","16","Remove an ephemeris entry to a table","False"
0x2620002,"EPH_CLEAR_TABLE","Ephemeris Clear Table Entry","Ephemeris","1","4","Clear the ephemeris of a table","False"
0x2620003,"EPH_SET_TGT","Ephemeris Set Target","Ephemeris","5","32","Set the target parameters for a specific target","False"
0x2620004,"EPH_SET_TGTSCAN","Ephemeris Set Target Scan","Ephemeris","10","80","Set the target to target scan parameters for a specific target","False"
0x2620005,"EPH_SET_EPHEM_PROP","Ephemeris Ephemeris Propagator Enable/Disable","Ephemeris","1","4","Set the ephemeris propagator to enabled or disabled","False"
0x2bc0000,"MDC_GOTO_IDLE","Mode Control GoTo Idle","Mode Control","1","4","Transition Mode to Idle Type","False"
0x2bc0001,"MDC_GOTO_HOLD","Mode Control GoTo Hold","Mode Control","1","4","Transition Mode to Hold Type","False"
0x2bc0002,"MDC_GOTO_RATEDAMP","Mode Control GoTo Rate Damp","Mode Control","1","4","Transition to Rate Damp Type","False"
0x2bc0003,"MDC_GOTO_SUNACQ","Mode Control GoTo Sun Acq","Mode Control","1","4","Transition to Sun Acquisition Type","False"
0x2bc0004,"MDC_SLEW_TRACK","Mode Control SlewTo Tracking","Mode Control","4","24","Transition to Tracking Type using user-specified Slew","False"
0x2bc0005,"MDC_SLEW_TRACK_CB","Mode Control SlewTo Tracking Celestial Body","Mode Control","5","24","Transition to Tracking Type using user-specified Slew for a specified celestial body","False"
0x2bc0006,"MDC_SLEW_ABS","Mode Control Slew Absolute","Mode Control","6","48","Transition to specified attitude and Hold using user-specified Slew.","False"
0x2bc0007,"MDC_SLEW_REL","Mode Control Slew Relative","Mode Control","6","48","Transition from current attitude and Hold using user-specified Slew.","False"
0x26c0000,"VEH_SET_BUSCFG","Vehicle State Set Bus Configuration","Vehicle State","1","4","Set the active bus mass properties configuration","False"
0x26c0001,"VEH_SET_ATTCTRL","Vehicle State Set Attitude Controller","Vehicle State","1","4","Set the active attitude controller","False"
0x26c0002,"VEH_SET_MOMCTRL","Vehicle State Set Momentum Controller","Vehicle State","1","4","Set the active momentum controller","False"
0x26c0003,"VEH_SET_MISSIONMODE","Vehicle State Set Mission Mode","Vehicle State","1","4","Set the mission mode","False"
0x26c0004,"VEH_ENABLE_SUN_AVOID","Vehicle State Enable Sun Avoidance","Vehicle State","0","0","Enable sun avoidance in all applicable modes_ sun avoidance is enabled by default when sun avoidance parameters are defined","False"
0x26c0005,"VEH_DISABLE_SUN_AVOID","Vehicle State Disable Sun Avoidance","Vehicle State","0","0","Disable sun avoidance in all applicable modes_ sun avoidance is enabled by default when sun avoidance parameters are defined","False"
0x26c0006,"VEH_RESET_DELTAV_TLM","Vehicle State Reset Delta-V Telemetry","Vehicle State","0","0","Reset all accumulated delta-v telemetry to zero","False"
0xe60000,"HMT_SET_CONNECTION_STATE","HWR_ActMgr_MT SET_CONNECTION_STATE","Actuator Manager","2","8","Set a given device's connection state","False"
0xe60001,"HMT_SET_ALL_CONNECTION_STATE","HWR_ActMgr_MT SET_ALL_CONNECTION_STATE","Actuator Manager","1","4","Set all devices' connection state","False"
0xc80000,"HRW_SET_CONNECTION_STATE","HWR_ActMgr_RW SET_CONNECTION_STATE","Actuator Manager","2","8","Set a given device's connection state","False"
0xc80001,"HRW_SET_ALL_CONNECTION_STATE","HWR_ActMgr_RW SET_ALL_CONNECTION_STATE","Actuator Manager","1","4","Set all devices' connection state","False"
0xa00000,"HGP_SET_CONNECTION_STATE","All GPS SET_CONNECTION_STATE","Sensor Manager","2","8","Set a given device's connection state","False"
0xa00001,"HGP_SET_ALL_CONNECTION_STATE","All GPS SET_ALL_CONNECTION_STATE","Sensor Manager","1","4","Set all devices' connection state","False"
0xa00002,"HGP_COMBO_SETUP","All GPS Run Combo Mode Setup on All","Sensor Manager","1","4","Perform an initialization for all devices that are in combo mode.  Prior to issuing setup, the model data is used.","False"
0xa00003,"HGP_COMBO_SETUP_SPEC","All GPS Run Combo Mode Setup on Specified","Sensor Manager","2","8","Perform an initialization for a specific device that is in combo mode.  Prior to issuing setup, the model data is used.","False"
0x6e0000,"HIM_SET_CONNECTION_STATE","All IMUs SET_CONNECTION_STATE","Sensor Manager","2","8","Set a given device's connection state","False"
0x6e0001,"HIM_SET_ALL_CONNECTION_STATE","All IMUs SET_ALL_CONNECTION_STATE","Sensor Manager","1","4","Set all devices' connection state","False"
0x6e0002,"HIM_COMBO_SETUP","All IMUs Run Combo Mode Setup on All","Sensor Manager","1","4","Perform an initialization for all devices that are in combo mode.  Prior to issuing setup, the model data is used.","False"
0x6e0003,"HIM_COMBO_SETUP_SPEC","All IMUs Run Combo Mode Setup on Specified","Sensor Manager","2","8","Perform an initialization for a specific device that is in combo mode.  Prior to issuing setup, the model data is used.","False"
0x8c0000,"HMG_SET_CONNECTION_STATE","All Magnetometers SET_CONNECTION_STATE","Sensor Manager","2","8","Set a given device's connection state","False"
0x8c0001,"HMG_SET_ALL_CONNECTION_STATE","All Magnetometers SET_ALL_CONNECTION_STATE","Sensor Manager","1","4","Set all devices' connection state","False"
0x8c0002,"HMG_COMBO_SETUP","All Magnetometers Run Combo Mode Setup on All","Sensor Manager","1","4","Perform an initialization for all devices that are in combo mode.  Prior to issuing setup, the model data is used.","False"
0x8c0003,"HMG_COMBO_SETUP_SPEC","All Magnetometers Run Combo Mode Setup on Specified","Sensor Manager","2","8","Perform an initialization for a specific device that is in combo mode.  Prior to issuing setup, the model data is used.","False"
0x780000,"HST_SET_CONNECTION_STATE","All Star Trackers SET_CONNECTION_STATE","Sensor Manager","2","8","Set a given device's connection state","False"
0x780001,"HST_SET_ALL_CONNECTION_STATE","All Star Trackers SET_ALL_CONNECTION_STATE","Sensor Manager","1","4","Set all devices' connection state","False"
0x780002,"HST_COMBO_SETUP","All Star Trackers Run Combo Mode Setup on All","Sensor Manager","1","4","Perform an initialization for all devices that are in combo mode.  Prior to issuing setup, the model data is used.","False"
0x780003,"HST_COMBO_SETUP_SPEC","All Star Trackers Run Combo Mode Setup on Specified","Sensor Manager","2","8","Perform an initialization for a specific device that is in combo mode.  Prior to issuing setup, the model data is used.","False"
0x820000,"HSS_SET_CONNECTION_STATE","All Sun Vector Sensors SET_CONNECTION_STATE","Sensor Manager","2","8","Set a given device's connection state","False"
0x820001,"HSS_SET_ALL_CONNECTION_STATE","All Sun Vector Sensors SET_ALL_CONNECTION_STATE","Sensor Manager","1","4","Set all devices' connection state","False"
0x820002,"HSS_COMBO_SETUP","All Sun Vector Sensors Run Combo Mode Setup on All","Sensor Manager","1","4","Perform an initialization for all devices that are in combo mode.  Prior to issuing setup, the model data is used.","False"
0x820003,"HSS_COMBO_SETUP_SPEC","All Sun Vector Sensors Run Combo Mode Setup on Specified","Sensor Manager","2","8","Perform an initialization for a specific device that is in combo mode.  Prior to issuing setup, the model data is used.","False"
0x30000,"ACS_NOOP","ADCS No-OP","Command & Data Handling","0","0","ADCS No-OP","False"
0x10040000,"OPL0_SET_POWER","ODY AtlasMultiSpectralImager Set Power","ODySSy Data Management","1","4","Turn payload on/off","False"
0x10040001,"OPL0_SET_MODE","ODY AtlasMultiSpectralImager Set Mode","ODySSy Data Management","1","4","Set the payload mode","False"
0xbb80000,"OCM0_SET_RX_POWER","ODY KaTransmitter Set Receiver State","ODySSy Data Management","1","4","Set the receiver power state","False"
0xbb80001,"OCM0_SET_TX_POWER","ODY KaTransmitter Set Transmitter State","ODySSy Data Management","1","4","Set the transmitter power state","False"
0x8ca0000,"OVS_SET_BUSCFG","ODY Vehicle State Set Bus Configuration","ODySSy Vehicle State","1","4","Set the active bus mass properties configuration","False"
0x8ca0001,"OVS_CHANGE_BUSCFG","ODY Vehicle State Change Bus Configuration","ODySSy Vehicle State","8","64","Set the active bus mass properties configuration and apply transition dynamics.","False"
0xf30000,"OAM3_ENABLE","ODY MagCoil_Mx ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xf30001,"OAM3_DISABLE","ODY MagCoil_Mx DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xf40000,"OAM4_ENABLE","ODY MagCoil_My ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xf40001,"OAM4_DISABLE","ODY MagCoil_My DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xf10000,"OAM1_ENABLE","ODY MagCoil_Mz ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xf10001,"OAM1_DISABLE","ODY MagCoil_Mz DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xf20000,"OAM2_ENABLE","ODY MagCoil_Px ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xf20001,"OAM2_DISABLE","ODY MagCoil_Px DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xf00000,"OAM0_ENABLE","ODY MagCoil_Py ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xf00001,"OAM0_DISABLE","ODY MagCoil_Py DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xd40000,"OAR2_ENABLE","ODY RW_Mz ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xd40001,"OAR2_DISABLE","ODY RW_Mz DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xd20000,"OAR0_ENABLE","ODY RW_Px ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xd20001,"OAR0_DISABLE","ODY RW_Px DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xd30000,"OAR1_ENABLE","ODY RW_Py ENABLE","ODySSy Actuator Model","0","0","Turn the hardware model on","False"
0xd30001,"OAR1_DISABLE","ODY RW_Py DISABLE","ODySSy Actuator Model","0","0","Turn the hardware model off","False"
0xa10000,"OGP0_ENABLE","ODY GPS ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0xa10001,"OGP0_DISABLE","ODY GPS DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x6f0000,"OSI0_ENABLE","ODY MPU ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x6f0001,"OSI0_DISABLE","ODY MPU DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x8d0000,"OSM0_ENABLE","ODY Mag_FCHMC ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x8d0001,"OSM0_DISABLE","ODY Mag_FCHMC DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x790000,"OST0_ENABLE","ODY Sinclair_STR ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x790001,"OST0_DISABLE","ODY Sinclair_STR DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x830000,"OSS0_ENABLE","ODY SunSens_Mx ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x830001,"OSS0_DISABLE","ODY SunSens_Mx DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x850000,"OSS2_ENABLE","ODY SunSens_My ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x850001,"OSS2_DISABLE","ODY SunSens_My DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x870000,"OSS4_ENABLE","ODY SunSens_Mz ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x870001,"OSS4_DISABLE","ODY SunSens_Mz DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x840000,"OSS1_ENABLE","ODY SunSens_Px ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x840001,"OSS1_DISABLE","ODY SunSens_Px DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0x860000,"OSS3_ENABLE","ODY SunSens_Py ENABLE","ODySSy Sensor Model","0","0","Turn the hardware model on","False"
0x860001,"OSS3_DISABLE","ODY SunSens_Py DISABLE","ODySSy Sensor Model","0","0","Turn the hardware model off","False"
0xbb90000,"OCM1_SET_RX_POWER","ODY UHF Set Receiver State","ODySSy Data Management","1","4","Set the receiver power state","False"
0xbb90001,"OCM1_SET_TX_POWER","ODY UHF Set Transmitter State","ODySSy Data Management","1","4","Set the transmitter power state","False"
0xdac0000,"OSD_SET_DATAREC_STATE","ODY Data Recorder SetDataRecorderState","ODySSy Data Management","1","8","Set the current state of the data recorder as % of capacity","False"
0x3e80000,"STK_CONNECT_CMD","STK CONNECT_CMD","SOLIS Simulation","1","128","Sends a command to STK through Connect","False"
0x3e80001,"STK_STOP_SIM","STK STOP_SIM","SOLIS Simulation","0","0","Sends a command to stop the current simulation","False"
0x13880000,"CMD_HIST_DUMP","Command History Dump","Command & Data Handling","1","128","Command History Dump File","False"
0x13880001,"CMD_HIST_AUTO_DUMP_ON","Command History Auto Dump On","Command & Data Handling","0","0","Command History Activate Automatic Command History Dump When History Is Full","False"
0x13880002,"CMD_HIST_AUTO_DUMP_OFF","Command History Auto Dump Off","Command & Data Handling","0","0","Command History Deactivate  Automatic Command History Dump When History Is Full","False"
0x13880003,"CMD_HIST_AUTO_DUMP","Command History Auto Dump","Command & Data Handling","0","0","Command History Automatic Command History Dump","False"
0x13ec0000,"MISC_CONFIG_LOAD","Misc Config Load","Command & Data Handling","1","128","Misc Load A Configuration File","False"
0x13ec0001,"MISC_CONFIG_PARSE","Misc Config Parse","Command & Data Handling","1","128","Misc Parse A Configuration String","False"
0x13ec0002,"MISC_REBOOT","Misc Reboot","Command & Data Handling","0","0","Misc Reboot The Flight Processor","False"
0x13ec0003,"MISC_PRINT","Misc Print","Command & Data Handling","1","128","Misc Print A String","False"
0x13ec0004,"MISC_EVR","Misc Send Event Report","Command & Data Handling","1","128","Misc Send Any Event Report","False"
0x13ec0005,"MISC_RM","Misc Remove File","Command & Data Handling","1","128","Misc Remove File","False"
0x13ec0006,"MISC_SYSTEM","Misc System","Command & Data Handling","1","128","Misc System","False"
0x15e00000,"PLD_SET_APID_FREQ","Payload Set Packet Frequency","Command & Data Handling","2","16","Payload Set Packet Frequency","False"
0x15e00001,"PLD_RECORD","Payload Record","Command & Data Handling","1","4","Start / stop recording","False"
0x15e00002,"PLD_SET_OLDEST_NS_BY_SEQ","Payload Set Oldest Not Sent By Seq","Command & Data Handling","1","4","Payload Set Oldest Not Sent By Sequence Number","False"
0x15e00003,"PLD_SET_OLDEST_NS_BY_TIME","Payload Set Oldest Not Sent By Time","Command & Data Handling","1","8","Payload Set Oldest Not Sent By Time","False"
0x15e00004,"PLD_DEL_BY_SEQ","Payload Delete By Seq","Command & Data Handling","2","8","Payload Delete By Sequence Number","False"
0x15e00005,"PLD_DEL_BY_TIME","Payload Delete By Time","Command & Data Handling","2","16","Payload Delete By Time","False"
0x15e00006,"PLD_SAVE_PKTS","Payload Delete By Time","Command & Data Handling","0","0","Payload Delete By Time","False"
0x15e00007,"PLD_LOAD_PKTS","Payload Delete By Time","Command & Data Handling","0","0","Payload Delete By Time","False"
0x120000,"CMD_TLM_NOOP","Cmd & Tlm No-OP","Command Sequencing","0","0","Cmd & Tlm No-OP","False"
0x27100000,"TLM_MON_FP_CL_ALL_CONDS","Telemetry Monitor Clear all conditions","Telemetry Monitor","0","0","Telemetry Monitor Clear all conditions","False"
0x27100001,"TLM_MON_FP_CL_COND","Telemetry Monitor Clear condition","Telemetry Monitor","1","4","Telemetry Monitor Clear condition","False"
0x27100010,"TLM_MON_FP_M_EN_DET","Telemetry Monitor Master Enable Detections","Telemetry Monitor","1","4","Telemetry Monitor Master Enable Detections","False"
0x27100011,"TLM_MON_FP_EN_ALL_DET","Telemetry Monitor Enable All Detection Bits","Telemetry Monitor","1","4","Telemetry Monitor Enable All Detection Bits","False"
0x27100012,"TLM_MON_FP_EN_DET_MASK","Telemetry Monitor Enable Detection By Mask","Telemetry Monitor","3","12","Telemetry Monitor Enable Detection By Mask","False"
0x27100013,"TLM_MON_FP_EN_DET","Telemetry Monitor Enable Detection By ID","Telemetry Monitor","2","8","Telemetry Monitor Enable Detection By ID","False"
0x27100020,"TLM_MON_FP_M_EN_RES","Telemetry Monitor Master Enable Responses","Telemetry Monitor","1","4","Telemetry Monitor Master Enable Responses","False"
0x27100021,"TLM_MON_FP_EN_ALL_RES","Telemetry Monitor Enable All Response Bits","Telemetry Monitor","1","4","Telemetry Monitor Enable All Response Bits","False"
0x27100022,"TLM_MON_FP_EN_RES_MASK","Telemetry Monitor Enable Response By Mask","Telemetry Monitor","3","12","Telemetry Monitor Enable Response By Mask","False"
0x27100023,"TLM_MON_FP_EN_RES","Telemetry Monitor Enable Response By ID","Telemetry Monitor","2","8","Telemetry Monitor Enable Response By ID","False"
0x27100030,"TLM_MON_FP_RST_ALL_CNTS","Telemetry Monitor Reset all FPU counters","Telemetry Monitor","0","0","Telemetry Monitor Reset all FPU counters","False"
0x27100031,"TLM_MON_FP_RST_ALL_IN_COND_CNTS","Telemetry Monitor Reset all in condition FPU counters","Telemetry Monitor","0","0","Telemetry Monitor Reset all in condition FPU counters","False"
0x27100032,"TLM_MON_FP_RST_ALL_ANY_COND_CNTS","Telemetry Monitor Reset all any condition FPU counters","Telemetry Monitor","0","0","Telemetry Monitor Reset all any condition FPU counters","False"
0x27100033,"TLM_MON_FP_RST_IN_COND_CNT","Telemetry Monitor Reset in condition FPU counter","Telemetry Monitor","1","4","Telemetry Monitor Reset in condition FPU counter","False"
0x27100034,"TLM_MON_FP_RST_ANY_COND_CNT","Telemetry Monitor Reset any condition FPU counter","Telemetry Monitor","1","4","Telemetry Monitor Reset any condition FPU counter","False"
0x27100040,"TLM_MON_FP_SET_COND_THRESHOLD","Telemetry Monitor Set condition threshold","Telemetry Monitor","2","16","Telemetry Monitor Set condition threshold","False"
0x27100041,"TLM_MON_FP_SET_COND_STR_CMP","Telemetry Monitor Set condition string compare","Telemetry Monitor","2","260","Telemetry Monitor Set condition string compare","False"
0x27100050,"TLM_MON_FP_SET_IN_COND_PERSIST_LMT","Telemetry Monitor Set in condition persistence limit","Telemetry Monitor","2","8","Telemetry Monitor Set in condition persistence limit","False"
0x27100051,"TLM_MON_FP_SET_ANY_COND_PERSIST_LMT","Telemetry Monitor Set any condition persistence limit","Telemetry Monitor","2","8","Telemetry Monitor Set any condition persistence limit","False"
0x27100060,"TLM_MON_FP_EXT_COND_LVL","Telemetry Monitor External maximum condition level","Telemetry Monitor","1","4","Telemetry Monitor External maximum condition level","False"
0x1b0000,"EPS_NOOP","EPS No-OP","Command & Data Handling","0","0","EPS No-OP","False"
0x9c40000,"OPW_FI_BATT_PWR_EN","ODY Power Fault Injection--Battery Power (Enable)","ODySSy Power Thermal","1","1","ODY Power--Enable the fault-injected value for battery power.","False"
0x9c40001,"OPW_FI_BATT_CURR_EN","ODY Power Fault Injection--Battery Current (Enable)","ODySSy Power Thermal","1","1","ODY Power--Enable the fault-injected value for battery current.","False"
0x9c40002,"OPW_FI_BATT_VOLT_EN","ODY Power Fault Injection--Battery Voltage (Enable)","ODySSy Power Thermal","1","1","ODY Power--Enable the fault-injected value for battery voltage.","False"
0x9c40003,"OPW_FI_BATT_CHRG_EN","ODY Power Fault Injection--Battery SOC AHr (Enable)","ODySSy Power Thermal","1","1","ODY Power--Enable the fault-injected value for battery state of charge (AHr).","False"
0x9c40004,"OPW_FI_BATT_PCT_EN","ODY Power Fault Injection--Battery SOC % (Enable)","ODySSy Power Thermal","1","1","ODY Power--Enable the fault-injected value for battery state of charge (%).","False"
0x9c40005,"OPW_FI_LOAD_PWR_EN","ODY Power Fault Injection--Load Power (Enable)","ODySSy Power Thermal","1","1","ODY Power--Enable the fault-injected value for load power.","False"
0x9c40006,"OPW_FI_BATT_PWR_VAL","ODY Power Fault Injection--Battery Power (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery power.","False"
0x9c40007,"OPW_FI_BATT_CURR_VAL","ODY Power Fault Injection--Battery Current (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery current.","False"
0x9c40008,"OPW_FI_BATT_VOLT_VAL","ODY Power Fault Injection--Battery Voltage (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery voltage.","False"
0x9c40009,"OPW_FI_BATT_CHRG_VAL","ODY Power Fault Injection--Battery SOC AHr (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery state of charge (AHr).","False"
0x9c4000a,"OPW_FI_BATT_PCT_VAL","ODY Power Fault Injection--Battery SOC % (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery state of charge (%).","False"
0x9c4000b,"OPW_FI_LOAD_PWR_VAL","ODY Power Fault Injection--Load Power (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for load power.","False"
0x1c200000,"FDM_FILE_DOWNLOAD","File Download","Command & Data Handling","1","128","File Download","False"
0x1c200001,"FDM_FILE_DOWNLOAD_PART","File Download Part","Command & Data Handling","4","140","File Download Part","False"
0x1c200002,"FDM_FILE_DOWNLOAD_CANCEL","File Download Cancel","Command & Data Handling","0","0","File Download Cancel","False"
0x1bbc0000,"FUM_FILE_UPLOAD_SETUP","File Upload Setup","Command & Data Handling","4","144","File Upload Setup","False"
0x1bbc0001,"FUM_FILE_UPLOAD_DATA","File Upload Data","Command & Data Handling","4","1040","File Upload Data","True"
0xf0020000,"FILE_NOOP","File No-OP","Command & Data Handling","0","0","File No-OP","False"
0x60000,"HWIO_NOOP","HWIO No-OP","Command & Data Handling","0","0","HWIO No-OP","False"
0x150000,"PLD_NOOP","Payloads No-OP","Command & Data Handling","0","0","Payloads No-OP","False"
0x17d40000,"FJ_START_REL","Sequence Engine Start Relative","Command Sequencing","3","256","Sequence Engine Start - Relative Time","False"
0x17d40001,"FJ_START_ABS","Sequence Engine Start Absolute","Command Sequencing","3","256","Sequence Engine Start - Absolute Time","False"
0x17d40002,"FJ_ABORT","Sequence Engine Abort","Command Sequencing","1","120","Sequence Engine Abort Sequence","False"
0x17d40003,"FJ_ABORT_ALL","Sequence Engine Abort All","Command Sequencing","0","0","Sequence Engine Abort All Sequence","False"
