"Function Code","Parameter Num","Parameter","Units","Start Byte","Type","Size bytes","Item Description"
0x8ca0001,5,"IMPULSE_BDYZ","N*s","32","DFP","8","Impulse applied over the transition dt (e.g. due to docking)"
0x8ca0001,6,"IMPULSELOC_BDYX","m","40","DFP","8","Location where impulse applied"
0x8ca0001,7,"IMPULSELOC_BDYY","m","48","DFP","8","Location where impulse applied"
0x8ca0001,8,"IMPULSELOC_BDYZ","m","56","DFP","8","Location where impulse applied"
0x10040000,1,"STATE","ENUM","0","ENUM","4","Is the payload off/on/standby?"
0x10040001,1,"MODE","ENUM","0","ENUM","4","Set Mode"
0x10050000,1,"STATE","ENUM","0","ENUM","4","Is the payload off/on/standby?"
0x10050001,1,"MODE","ENUM","0","ENUM","4","Set Mode"
0xdac0000,1,"PERCENT","percent","0","DFP","8","Set state of data recorder"
0x3e80000,1,"CMD","none","0","AB","128","char_CMD"
0x13880000,1,"FILE_NAME","none","0","AB","128","Name of cmd history file (relative to CmdHistMgr configured dir)"
0x13ec0000,1,"FILE","none","0","AB","128","File name"
0x13ec0001,1,"STRING","none","0","AB","128","Configuration string"
0x13ec0003,1,"STRING","none","0","AB","128","Print string"
0x13ec0004,1,"STRING","none","0","AB","128","EVR string"
0x13ec0005,1,"FILE","none","0","AB","128","File Name"
0x13ec0006,1,"STRING","none","0","AB","128","EVR string"
0x15e00000,1,"APID","none","0","ULI","4","APID"
0x15e00000,2,"HZ","none","8","DFP","8","Hz"
0x15e00001,1,"STOP_START","none","0","ULI","4","Stop / start"
0x15e00002,1,"SEQ_NUM","none","0","ULI","4","Sequence number"
0x15e00003,1,"TIME","s","0","DFP","8","Time"
0x15e00004,1,"START_SEQ_NUM","none","0","ULI","4","Start sequence number"
0x15e00004,2,"END_SEQ_NUM","none","4","ULI","4","End sequence number"
0x15e00005,1,"START_TIME","s","0","DFP","8","Start time"
0x15e00005,2,"END_TIME","s","8","DFP","8","End time"
0x27100001,1,"ID","none","0","ULI","4","ID"
0x27100010,1,"ENABLE","none","0","ULI","4","Enable/Disable"
0x27100011,1,"ENABLE","none","0","ULI","4","Enable/Disable"
0x27100012,1,"WORD","none","0","ULI","4","Word"
0x27100012,2,"MASK","none","4","ULI","4","Mask"
0x27100012,3,"VALUE","none","8","ULI","4","Value"
0x27100013,1,"ID","none","0","ULI","4","ID"
0x27100013,2,"ENABLE","none","4","ULI","4","Enable/Disable"
0x27100020,1,"ENABLE","none","0","ULI","4","Enable/Disable"
0x27100021,1,"ENABLE","none","0","ULI","4","Enable/Disable"
0x27100022,1,"WORD","none","0","ULI","4","Word"
0x27100022,2,"MASK","none","4","ULI","4","Mask"
0x27100022,3,"VALUE","none","8","ULI","4","Value"
0x27100023,1,"ID","none","0","ULI","4","ID"
0x27100023,2,"ENABLE","none","4","ULI","4","Enable/Disable"
0x27100033,1,"ID","none","0","ULI","4","ID"
0x27100034,1,"ID","none","0","ULI","4","ID"
0x27100040,1,"COND_ID","none","0","ULI","4","Condition ID"
0x27100040,2,"THRESHOLD","none","8","DFP","8","Threshold"
0x27100041,1,"COND_ID","none","0","ULI","4","Condition ID"
0x27100041,2,"STR_CMP","none","4","AB","256","String Compare"
0x27100050,1,"ID","none","0","ULI","4","ID"
0x27100050,2,"PERSIST_LIMIT","none","4","SLI","4","Persistence Limit"
0x27100051,1,"ID","none","0","ULI","4","ID"
0x27100051,2,"PERSIST_LIMIT","none","4","SLI","4","Persistence Limit"
0x27100060,1,"CONDITION","none","0","SLI","4","Condition Level"
0x9c40000,1,"FI_ENABLE","none","0","ENUM","1","Enable Battery Power fault-injection."
0x9c40001,1,"FI_ENABLE","none","0","ENUM","1","Enable Battery Current fault-injection."
0x9c40002,1,"FI_ENABLE","none","0","ENUM","1","Enable Battery Voltage fault-injection."
0x9c40003,1,"FI_ENABLE","none","0","ENUM","1","Enable Battery SOC (AHr) fault-injection."
0x9c40004,1,"FI_ENABLE","none","0","ENUM","1","Enable Battery SOC (%) fault-injection."
0x9c40005,1,"FI_ENABLE","none","0","ENUM","1","Enable Load Power fault-injection."
0x9c40006,1,"FI_VALUE","W","0","DFP","8","Set the Battery Power fault-injected value."
0x9c40007,1,"FI_VALUE","A","0","DFP","8","Set the Battery Current fault-injected value."
0x9c40008,1,"FI_VALUE","V","0","DFP","8","Set the Battery Voltage fault-injected value."
0x9c40009,1,"FI_VALUE","A*Hr","0","DFP","8","Set the Battery SOC (AHr) fault-injected value."
0x9c4000a,1,"FI_VALUE","%","0","DFP","8","Set the Battery SOC (%) fault-injected value."
0x9c4000b,1,"FI_VALUE","W","0","DFP","8","Set the Load Power fault-injected value."
0x1c200000,1,"FILE_NAME","none","0","AB","128","File name"
0x1c200001,1,"FILE_ID","none","0","ULI","4","File ID"
0x1c200001,2,"START","none","4","ULI","4","Start sequence number"
0x1c200001,3,"END","none","8","ULI","4","End sequence number (rest of file if <= start sequence number"
0x1c200001,4,"FILE_NAME","none","12","AB","128","File name"
0x1bbc0000,1,"FILE_ID","none","0","ULI","4","File ID"
0x1bbc0000,2,"NUM_BYTES","none","4","ULI","4","Number of bytes"
0x1bbc0000,3,"NUM_PCKTS","none","8","ULI","4","Number of data packets"
0x1bbc0000,4,"EXP_CRC","none","12","ULI","4","Expected CRC"
0x1bbc0000,5,"FILE_NAME","none","16","AB","128","File name"
0x1bbc0001,1,"FILE_ID","none","0","ULI","4","File ID"
0x1bbc0001,2,"SEQ_NUM","none","4","ULI","4","Sequence number"
0x1bbc0001,3,"OFFSET","none","8","ULI","4","Byte offset"
0x1bbc0001,4,"BYTES","none","12","ULI","4","Bytes"
0x1bbc0001,5,"DATA","none","16","UB","1024","Data"
0x17d40000,1,"Seconds","s","0","DFP","8","Seconds"
0x17d40000,2,"File","none","8","AB","120","File or procedure name.  If an extension is included then it is a file name.  If procedure name is not found then an extension will be added (i.e. ".fj")"
0x17d40000,3,"Args","none","128","AB","128","Arguments (comma separated)"
0x17d40001,1,"Time","SCLK","0","DFP","8","SCLK Time"
0x17d40001,2,"File","none","8","AB","120","File or procedure name.  If an extension is included then it is a file name.  If procedure name is not found then an extension will be added (i.e. ".fj")"
0x17d40001,3,"Args","none","128","AB","128","Arguments (comma separated)"
0x17d40002,1,"Proc","none","0","AB","120","Procedure Name.  Note this is not a file name and the extension (i.e. ".fj") should never be included."
0x17d40004,1,"Proc","none","0","AB","120","Procedure Name(s) (comma separated).  Note these are not file names and the extension (i.e. ".fj") should never be included."
0x17d40005,1,"Proc","none","0","AB","120","File or procedure name.  If an extension is included then it is a file name.  If procedure name is not found then an extension will be added (i.e. ".fj")"
0x17d40006,1,"Proc","none","0","AB","120","File or procedure name.  If an extension is included then it is a file name.  If procedure name is not found then an extension will be added (i.e. ".fj")"
0x17d40008,1,"Engine","none","0","SLI","4","Engine"
0x17d40008,2,"Proc","none","4","AB","120","Procedure Name.  Note this is not a file name and the extension (i.e. ".fj") should never be included."
0x17d40008,3,"Line","none","124","SLI","4","Line Number"
0xfa00000,1,"SEC","s","0","SLI","4","Seconds"
0xfa00000,2,"SUBSEC","ss","4","UI","2","Sub-Seconds"
0xfa00001,1,"VAULE","s","0","DFP","8","UTC minus spacecraft clock value"
0xfa00002,1,"VAULE","s","0","DFP","8","GPS minus spacecraft clock value"
