"APID","Order","Mnemonic","Long Name","Units","Start Byte","Length Bytes","Type","Item Description","Format"
431,4,"APM1_CMDTRQ_BDYX","Magnetic Torquer Sets  2 CmdTrq_BDYX","N*m","32","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
431,5,"APM1_CMDTRQ_BDYY","Magnetic Torquer Sets  2 CmdTrq_BDYY","N*m","40","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
431,6,"APM1_CMDTRQ_BDYZ","Magnetic Torquer Sets  2 CmdTrq_BDYZ","N*m","48","8","DFP","Commanded torque in the body frame this execution frame","%1.17g"
431,7,"APM1_AVEPWTRQ_BDYX","Magnetic Torquer Sets  2 AvePwTrq_BDYX","N*m","56","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
431,8,"APM1_AVEPWTRQ_BDYY","Magnetic Torquer Sets  2 AvePwTrq_BDYY","N*m","64","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
431,9,"APM1_AVEPWTRQ_BDYZ","Magnetic Torquer Sets  2 AvePwTrq_BDYZ","N*m","72","8","DFP","Estimated torque in the body frame averaged over the command period","%1.17g"
431,10,"APM1_AVEPWDIPOLE_BDYX","Magnetic Torquer Sets  2 AvePwDipole_BDYX","A*m^2","80","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
431,11,"APM1_AVEPWDIPOLE_BDYY","Magnetic Torquer Sets  2 AvePwDipole_BDYY","A*m^2","88","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
431,12,"APM1_AVEPWDIPOLE_BDYZ","Magnetic Torquer Sets  2 AvePwDipole_BDYZ","A*m^2","96","8","DFP","Estimated dipole in the body frame averaged over the command period","%1.17g"
431,13,"APM1_DIPOLECMD_BDYX","Magnetic Torquer Sets  2 DipoleCmd_BDYX","A*m^2","104","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
431,14,"APM1_DIPOLECMD_BDYY","Magnetic Torquer Sets  2 DipoleCmd_BDYY","A*m^2","112","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
431,15,"APM1_DIPOLECMD_BDYZ","Magnetic Torquer Sets  2 DipoleCmd_BDYZ","A*m^2","120","8","DFP","Commanded dipole in the body frame this execution frame","%1.17g"
490,0,"PAC_ESTTORQUE_BDYX","Perfect Set EstTorque_BDYX","N*m","0","8","DFP","Estimated torque produced by actuator set","%1.17g"
490,1,"PAC_ESTTORQUE_BDYY","Perfect Set EstTorque_BDYY","N*m","8","8","DFP","Estimated torque produced by actuator set","%1.17g"
490,2,"PAC_ESTTORQUE_BDYZ","Perfect Set EstTorque_BDYZ","N*m","16","8","DFP","Estimated torque produced by actuator set","%1.17g"
490,3,"PAC_CMDTRQ_BDYX","Perfect Set CmdTrq_BDYX","N*m","24","8","DFP","Commanded torque to actuator set","%1.17g"
490,4,"PAC_CMDTRQ_BDYY","Perfect Set CmdTrq_BDYY","N*m","32","8","DFP","Commanded torque to actuator set","%1.17g"
490,5,"PAC_CMDTRQ_BDYZ","Perfect Set CmdTrq_BDYZ","N*m","40","8","DFP","Commanded torque to actuator set","%1.17g"
400,0,"APR0_ISENABLED","Reaction Wheel Sets  IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
400,1,"APR0_ESTTORQUE_BDYX","Reaction Wheel Sets  EstTorque_BDYX","N*m","8","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,2,"APR0_ESTTORQUE_BDYY","Reaction Wheel Sets  EstTorque_BDYY","N*m","16","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,3,"APR0_ESTTORQUE_BDYZ","Reaction Wheel Sets  EstTorque_BDYZ","N*m","24","8","DFP","Estimated torque produced by actuator set","%1.17g"
400,4,"APR0_CMDTRQ_BDYX","Reaction Wheel Sets  CmdTrq_BDYX","N*m","32","8","DFP","Commanded torque to actuator set","%1.17g"
400,5,"APR0_CMDTRQ_BDYY","Reaction Wheel Sets  CmdTrq_BDYY","N*m","40","8","DFP","Commanded torque to actuator set","%1.17g"
400,6,"APR0_CMDTRQ_BDYZ","Reaction Wheel Sets  CmdTrq_BDYZ","N*m","48","8","DFP","Commanded torque to actuator set","%1.17g"
400,7,"APR0_NULLCNTRLENABLED","Reaction Wheel Sets  NullCntrlEnabled","bool","56","4","ENUM","Enable state of the wheel null space controller","%s"
400,8,"APR0_SPEEDCONTROLSTATE","Reaction Wheel Sets  SpeedControlState","none","60","4","ENUM","Commanded speed control state","%s"
401,0,"APR0_NULLMOMERRReaction_Wheel_1","Null Space Control NullMomErrReaction_Wheel_1","N*m*s","0","8","DFP","Null space controller wheel momentum errorReaction_Wheel_1","%1.17g"
401,1,"APR0_NULLTRQReaction_Wheel_1","Null Space Control NullTrqReaction_Wheel_1","N*m","8","8","DFP","Null space controller wheel torque commandReaction_Wheel_1","%1.17g"
401,2,"APR0_NULLMOMERRReaction_Wheel_2","Null Space Control NullMomErrReaction_Wheel_2","N*m*s","16","8","DFP","Null space controller wheel momentum errorReaction_Wheel_2","%1.17g"
401,3,"APR0_NULLTRQReaction_Wheel_2","Null Space Control NullTrqReaction_Wheel_2","N*m","24","8","DFP","Null space controller wheel torque commandReaction_Wheel_2","%1.17g"
401,4,"APR0_NULLMOMERRReaction_Wheel_3","Null Space Control NullMomErrReaction_Wheel_3","N*m*s","32","8","DFP","Null space controller wheel momentum errorReaction_Wheel_3","%1.17g"
401,5,"APR0_NULLTRQReaction_Wheel_3","Null Space Control NullTrqReaction_Wheel_3","N*m","40","8","DFP","Null space controller wheel torque commandReaction_Wheel_3","%1.17g"
401,6,"APR0_NULLMOMERRReaction_Wheel_4","Null Space Control NullMomErrReaction_Wheel_4","N*m*s","48","8","DFP","Null space controller wheel momentum errorReaction_Wheel_4","%1.17g"
401,7,"APR0_NULLTRQReaction_Wheel_4","Null Space Control NullTrqReaction_Wheel_4","N*m","56","8","DFP","Null space controller wheel torque commandReaction_Wheel_4","%1.17g"
402,0,"APR1_ISENABLED","Reaction Wheel Sets  2 IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
402,1,"APR1_ESTTORQUE_BDYX","Reaction Wheel Sets  2 EstTorque_BDYX","N*m","8","8","DFP","Estimated torque produced by actuator set","%1.17g"
402,2,"APR1_ESTTORQUE_BDYY","Reaction Wheel Sets  2 EstTorque_BDYY","N*m","16","8","DFP","Estimated torque produced by actuator set","%1.17g"
402,3,"APR1_ESTTORQUE_BDYZ","Reaction Wheel Sets  2 EstTorque_BDYZ","N*m","24","8","DFP","Estimated torque produced by actuator set","%1.17g"
402,4,"APR1_CMDTRQ_BDYX","Reaction Wheel Sets  2 CmdTrq_BDYX","N*m","32","8","DFP","Commanded torque to actuator set","%1.17g"
402,5,"APR1_CMDTRQ_BDYY","Reaction Wheel Sets  2 CmdTrq_BDYY","N*m","40","8","DFP","Commanded torque to actuator set","%1.17g"
402,6,"APR1_CMDTRQ_BDYZ","Reaction Wheel Sets  2 CmdTrq_BDYZ","N*m","48","8","DFP","Commanded torque to actuator set","%1.17g"
402,7,"APR1_NULLCNTRLENABLED","Reaction Wheel Sets  2 NullCntrlEnabled","bool","56","4","ENUM","Enable state of the wheel null space controller","%s"
402,8,"APR1_SPEEDCONTROLSTATE","Reaction Wheel Sets  2 SpeedControlState","none","60","4","ENUM","Commanded speed control state","%s"
403,0,"APR1_NULLMOMERRReaction_Wheel_2","Null Space Control NullMomErrReaction_Wheel_2","N*m*s","0","8","DFP","Null space controller wheel momentum errorReaction_Wheel_2","%1.17g"
403,1,"APR1_NULLTRQReaction_Wheel_2","Null Space Control NullTrqReaction_Wheel_2","N*m","8","8","DFP","Null space controller wheel torque commandReaction_Wheel_2","%1.17g"
403,2,"APR1_NULLMOMERRReaction_Wheel_3","Null Space Control NullMomErrReaction_Wheel_3","N*m*s","16","8","DFP","Null space controller wheel momentum errorReaction_Wheel_3","%1.17g"
403,3,"APR1_NULLTRQReaction_Wheel_3","Null Space Control NullTrqReaction_Wheel_3","N*m","24","8","DFP","Null space controller wheel torque commandReaction_Wheel_3","%1.17g"
403,4,"APR1_NULLMOMERRReaction_Wheel_4","Null Space Control NullMomErrReaction_Wheel_4","N*m*s","32","8","DFP","Null space controller wheel momentum errorReaction_Wheel_4","%1.17g"
403,5,"APR1_NULLTRQReaction_Wheel_4","Null Space Control NullTrqReaction_Wheel_4","N*m","40","8","DFP","Null space controller wheel torque commandReaction_Wheel_4","%1.17g"
460,0,"APT0_ISENABLED","Thruster Sets  IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
460,1,"APT0_CMDTRQ_BDYX","Thruster Sets  CmdTrq_BDYX","N*m","8","8","DFP","Commanded torque to actuator set","%1.17g"
460,2,"APT0_CMDTRQ_BDYY","Thruster Sets  CmdTrq_BDYY","N*m","16","8","DFP","Commanded torque to actuator set","%1.17g"
460,3,"APT0_CMDTRQ_BDYZ","Thruster Sets  CmdTrq_BDYZ","N*m","24","8","DFP","Commanded torque to actuator set","%1.17g"
460,4,"APT0_ESTTORQUE_BDYX","Thruster Sets  EstTorque_BDYX","N*m","32","8","DFP","Estimated torque produced by actuator set","%1.17g"
460,5,"APT0_ESTTORQUE_BDYY","Thruster Sets  EstTorque_BDYY","N*m","40","8","DFP","Estimated torque produced by actuator set","%1.17g"
460,6,"APT0_ESTTORQUE_BDYZ","Thruster Sets  EstTorque_BDYZ","N*m","48","8","DFP","Estimated torque produced by actuator set","%1.17g"
460,7,"APT0_ESTFORCE_BDYX","Thruster Sets  EstForce_BDYX","N","56","8","DFP","Estimated net force produced by the actuator set","%1.17g"
460,8,"APT0_ESTFORCE_BDYY","Thruster Sets  EstForce_BDYY","N","64","8","DFP","Estimated net force produced by the actuator set","%1.17g"
460,9,"APT0_ESTFORCE_BDYZ","Thruster Sets  EstForce_BDYZ","N","72","8","DFP","Estimated net force produced by the actuator set","%1.17g"
460,10,"APT0_THRCTRLSTATE","Thruster Sets  ThrCtrlState","none","80","4","ENUM","Thruster control state","%s"
461,0,"APT1_ISENABLED","Thruster Sets  2 IsEnabled","bool","0","4","ENUM","Is this processor enabled?","%s"
461,1,"APT1_CMDTRQ_BDYX","Thruster Sets  2 CmdTrq_BDYX","N*m","8","8","DFP","Commanded torque to actuator set","%1.17g"
461,2,"APT1_CMDTRQ_BDYY","Thruster Sets  2 CmdTrq_BDYY","N*m","16","8","DFP","Commanded torque to actuator set","%1.17g"
461,3,"APT1_CMDTRQ_BDYZ","Thruster Sets  2 CmdTrq_BDYZ","N*m","24","8","DFP","Commanded torque to actuator set","%1.17g"
461,4,"APT1_ESTTORQUE_BDYX","Thruster Sets  2 EstTorque_BDYX","N*m","32","8","DFP","Estimated torque produced by actuator set","%1.17g"
461,5,"APT1_ESTTORQUE_BDYY","Thruster Sets  2 EstTorque_BDYY","N*m","40","8","DFP","Estimated torque produced by actuator set","%1.17g"
461,6,"APT1_ESTTORQUE_BDYZ","Thruster Sets  2 EstTorque_BDYZ","N*m","48","8","DFP","Estimated torque produced by actuator set","%1.17g"
461,7,"APT1_ESTFORCE_BDYX","Thruster Sets  2 EstForce_BDYX","N","56","8","DFP","Estimated net force produced by the actuator set","%1.17g"
461,8,"APT1_ESTFORCE_BDYY","Thruster Sets  2 EstForce_BDYY","N","64","8","DFP","Estimated net force produced by the actuator set","%1.17g"
461,9,"APT1_ESTFORCE_BDYZ","Thruster Sets  2 EstForce_BDYZ","N","72","8","DFP","Estimated net force produced by the actuator set","%1.17g"
461,10,"APT1_THRCTRLSTATE","Thruster Sets  2 ThrCtrlState","none","80","4","ENUM","Thruster control state","%s"
600,0,"ATD_ADSTATE","AD_Summary ADState","none","0","4","ENUM","Is that attitude determined?","%s"
600,1,"ATD_QEST_CBI2BDY0","AD_Summary QEst_CBI2BDY0","none","8","8","DFP","Estimated attitude quaternion","%1.17g"
600,2,"ATD_QEST_CBI2BDY1","AD_Summary QEst_CBI2BDY1","none","16","8","DFP","Estimated attitude quaternion","%1.17g"
600,3,"ATD_QEST_CBI2BDY2","AD_Summary QEst_CBI2BDY2","none","24","8","DFP","Estimated attitude quaternion","%1.17g"
600,4,"ATD_QEST_CBI2BDY3","AD_Summary QEst_CBI2BDY3","none","32","8","DFP","Estimated attitude quaternion","%1.17g"
600,5,"ATD_WEST_BDYX","AD_Summary WEst_BDYX","rad/s","40","8","DFP","Estimated body rate","%1.17g"
600,6,"ATD_WEST_BDYY","AD_Summary WEst_BDYY","rad/s","48","8","DFP","Estimated body rate","%1.17g"
600,7,"ATD_WEST_BDYZ","AD_Summary WEst_BDYZ","rad/s","56","8","DFP","Estimated body rate","%1.17g"
600,8,"ATD_RATEBIAS_BDYX","AD_Summary RateBias_BDYX","rad/s","64","8","DFP","Estimated rate bias","%1.17g"
600,9,"ATD_RATEBIAS_BDYY","AD_Summary RateBias_BDYY","rad/s","72","8","DFP","Estimated rate bias","%1.17g"
600,10,"ATD_RATEBIAS_BDYZ","AD_Summary RateBias_BDYZ","rad/s","80","8","DFP","Estimated rate bias","%1.17g"
600,11,"ATD_TIMESINCEACCEPTED","AD_Summary TimeSinceAccepted","s","88","8","DFP","Time since the last measurement was accepted into the filter","%1.17g"
600,12,"ATD_TOTALREJECTCOUNT","AD_Summary TotalRejectCount","none","96","4","ULI","Total number of rejected measurements due to residual error","%d"
601,0,"ATD_TIMESINCEACCEPTEDSunAngleSensor_Vector","AD_Meas TimeSinceAcceptedSunAngleSensor_Vector","s","0","8","DFP","Time since a measurement from this sensor was accepted into the filterSunAngleSensor_Vector","%1.17g"
601,1,"ATD_RESIDMAGSunAngleSensor_Vector","AD_Meas ResidMagSunAngleSensor_Vector","rad","8","8","DFP","Magnitude of the residual from the last measurementSunAngleSensor_Vector","%1.17g"
601,2,"ATD_REJECTCOUNTSunAngleSensor_Vector","AD_Meas RejectCountSunAngleSensor_Vector","none","16","4","ULI","Number of measurements from this sensor rejected due to residual errorSunAngleSensor_Vector","%d"
601,3,"ATD_TIMESINCEACCEPTEDMAG_1","AD_Meas TimeSinceAcceptedMAG_1","s","24","8","DFP","Time since a measurement from this sensor was accepted into the filterMAG_1","%1.17g"
601,4,"ATD_RESIDMAGMAG_1","AD_Meas ResidMagMAG_1","rad","32","8","DFP","Magnitude of the residual from the last measurementMAG_1","%1.17g"
601,5,"ATD_REJECTCOUNTMAG_1","AD_Meas RejectCountMAG_1","none","40","4","ULI","Number of measurements from this sensor rejected due to residual errorMAG_1","%d"
601,6,"ATD_TIMESINCEACCEPTEDHRZ_1","AD_Meas TimeSinceAcceptedHRZ_1","s","48","8","DFP","Time since a measurement from this sensor was accepted into the filterHRZ_1","%1.17g"
601,7,"ATD_RESIDMAGHRZ_1","AD_Meas ResidMagHRZ_1","rad","56","8","DFP","Magnitude of the residual from the last measurementHRZ_1","%1.17g"
601,8,"ATD_REJECTCOUNTHRZ_1","AD_Meas RejectCountHRZ_1","none","64","4","ULI","Number of measurements from this sensor rejected due to residual errorHRZ_1","%d"
601,9,"ATD_TIMESINCEACCEPTEDHRZ_2","AD_Meas TimeSinceAcceptedHRZ_2","s","72","8","DFP","Time since a measurement from this sensor was accepted into the filterHRZ_2","%1.17g"
601,10,"ATD_RESIDMAGHRZ_2","AD_Meas ResidMagHRZ_2","rad","80","8","DFP","Magnitude of the residual from the last measurementHRZ_2","%1.17g"
601,11,"ATD_REJECTCOUNTHRZ_2","AD_Meas RejectCountHRZ_2","none","88","4","ULI","Number of measurements from this sensor rejected due to residual errorHRZ_2","%d"
601,12,"ATD_TIMESINCEACCEPTEDMAG_2","AD_Meas TimeSinceAcceptedMAG_2","s","96","8","DFP","Time since a measurement from this sensor was accepted into the filterMAG_2","%1.17g"
601,13,"ATD_RESIDMAGMAG_2","AD_Meas ResidMagMAG_2","rad","104","8","DFP","Magnitude of the residual from the last measurementMAG_2","%1.17g"
601,14,"ATD_REJECTCOUNTMAG_2","AD_Meas RejectCountMAG_2","none","112","4","ULI","Number of measurements from this sensor rejected due to residual errorMAG_2","%d"
601,15,"ATD_TIMESINCEACCEPTEDSTR_2","AD_Meas TimeSinceAcceptedSTR_2","s","120","8","DFP","Time since a measurement from this sensor was accepted into the filterSTR_2","%1.17g"
601,16,"ATD_RESIDMAGSTR_2","AD_Meas ResidMagSTR_2","rad","128","8","DFP","Magnitude of the residual from the last measurementSTR_2","%1.17g"
601,17,"ATD_REJECTCOUNTSTR_2","AD_Meas RejectCountSTR_2","none","136","4","ULI","Number of measurements from this sensor rejected due to residual errorSTR_2","%d"
601,18,"ATD_TIMESINCEACCEPTEDSAS_1","AD_Meas TimeSinceAcceptedSAS_1","s","144","8","DFP","Time since a measurement from this sensor was accepted into the filterSAS_1","%1.17g"
601,19,"ATD_RESIDMAGSAS_1","AD_Meas ResidMagSAS_1","rad","152","8","DFP","Magnitude of the residual from the last measurementSAS_1","%1.17g"
601,20,"ATD_REJECTCOUNTSAS_1","AD_Meas RejectCountSAS_1","none","160","4","ULI","Number of measurements from this sensor rejected due to residual errorSAS_1","%d"
601,21,"ATD_TIMESINCEACCEPTEDSTR_1","AD_Meas TimeSinceAcceptedSTR_1","s","168","8","DFP","Time since a measurement from this sensor was accepted into the filterSTR_1","%1.17g"
601,22,"ATD_RESIDMAGSTR_1","AD_Meas ResidMagSTR_1","rad","176","8","DFP","Magnitude of the residual from the last measurementSTR_1","%1.17g"
601,23,"ATD_REJECTCOUNTSTR_1","AD_Meas RejectCountSTR_1","none","184","4","ULI","Number of measurements from this sensor rejected due to residual errorSTR_1","%d"
601,24,"ATD_TIMESINCEACCEPTEDSAS_2","AD_Meas TimeSinceAcceptedSAS_2","s","192","8","DFP","Time since a measurement from this sensor was accepted into the filterSAS_2","%1.17g"
601,25,"ATD_RESIDMAGSAS_2","AD_Meas ResidMagSAS_2","rad","200","8","DFP","Magnitude of the residual from the last measurementSAS_2","%1.17g"
601,26,"ATD_REJECTCOUNTSAS_2","AD_Meas RejectCountSAS_2","none","208","4","ULI","Number of measurements from this sensor rejected due to residual errorSAS_2","%d"
601,27,"ATD_TIMESINCEACCEPTEDSVS_2","AD_Meas TimeSinceAcceptedSVS_2","s","216","8","DFP","Time since a measurement from this sensor was accepted into the filterSVS_2","%1.17g"
601,28,"ATD_RESIDMAGSVS_2","AD_Meas ResidMagSVS_2","rad","224","8","DFP","Magnitude of the residual from the last measurementSVS_2","%1.17g"
601,29,"ATD_REJECTCOUNTSVS_2","AD_Meas RejectCountSVS_2","none","232","4","ULI","Number of measurements from this sensor rejected due to residual errorSVS_2","%d"
601,30,"ATD_TIMESINCEACCEPTEDSVS_1","AD_Meas TimeSinceAcceptedSVS_1","s","240","8","DFP","Time since a measurement from this sensor was accepted into the filterSVS_1","%1.17g"
601,31,"ATD_RESIDMAGSVS_1","AD_Meas ResidMagSVS_1","rad","248","8","DFP","Magnitude of the residual from the last measurementSVS_1","%1.17g"
601,32,"ATD_REJECTCOUNTSVS_1","AD_Meas RejectCountSVS_1","none","256","4","ULI","Number of measurements from this sensor rejected due to residual errorSVS_1","%d"
602,0,"ATD_ALLOWAD","AD_Init AllowAD","bool","0","4","ENUM","Allow attitude to be determined?","%s"
602,1,"ATD_QFORMED","AD_Init QFormed","none","4","4","ENUM","Was a quaternion formed?","%s"
602,2,"ATD_CHKATTCONSIST","AD_Init ChkAttConsist","none","8","4","ENUM","Is the attitude consistent","%s"
602,3,"ATD_CHKTIMEWINDOW","AD_Init ChkTimeWindow","none","12","4","ENUM","Is the time window valid","%s"
602,4,"ATD_CHKSUNSENS","AD_Init ChkSunSens","none","16","4","ENUM","Are the sun sensors valid","%s"
602,5,"ATD_CHKMAGSENS","AD_Init ChkMagSens","none","20","4","ENUM","Are the magnetometers valid","%s"
602,6,"ATD_CHKHRZSENS","AD_Init ChkHrzSens","none","24","4","ENUM","Are the horizon sensors valid","%s"
602,7,"ATD_NUMVALFRAMES","AD_Init NumValFrames","none","28","4","ULI","Number of frames the attitude initialization solution has been valid","%d"
602,8,"ATD_NUMSTRTRKAVL","AD_Init NumStrTrkAvl","none","32","1","UB","Number of star trackers for init","%d"
602,9,"ATD_NUMSUNSENSAVL","AD_Init NumSunSensAvl","none","33","1","UB","Number of sun sensors for init","%d"
602,10,"ATD_NUMMAGSENSAVL","AD_Init NumMagSensAvl","none","34","1","UB","Number of magnetometers for init","%d"
602,11,"ATD_NUMHRZSENSAVL","AD_Init NumHrzSensAvl","none","35","1","UB","Number of horizon sensors for init","%d"
602,12,"ATD_SEPANGLE","AD_Init SepAngle","rad","40","8","DFP","Separation angle between vector sensors","%1.17g"
602,13,"ATD_QDELTA_OLD2NEW0","AD_Init Qdelta_OLD2NEW0","none","48","8","DFP","Q0 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
602,14,"ATD_QDELTA_OLD2NEW1","AD_Init Qdelta_OLD2NEW1","none","56","8","DFP","Q1 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
602,15,"ATD_QDELTA_OLD2NEW2","AD_Init Qdelta_OLD2NEW2","none","64","8","DFP","Q2 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
602,16,"ATD_QDELTA_OLD2NEW3","AD_Init Qdelta_OLD2NEW3","none","72","8","DFP","Q3 delta from the attitude update.  Can be used to reconstruct attitude estimate prior to acquisition","%1.17g"
603,0,"ATD_COVAR00","AD_Details Covar00","rad^2","0","8","DFP","Element [0][0] of covariance matrix","%1.17g"
603,1,"ATD_COVAR01","AD_Details Covar01","rad^2/s","8","8","DFP","Element [0][1] of covariance matrix","%1.17g"
603,2,"ATD_COVAR02","AD_Details Covar02","rad^2/s","16","8","DFP","Element [0][2] of covariance matrix","%1.17g"
603,3,"ATD_COVAR03","AD_Details Covar03","rad^2/s","24","8","DFP","Element [0][3] of covariance matrix","%1.17g"
603,4,"ATD_COVAR04","AD_Details Covar04","rad^2/s","32","8","DFP","Element [0][4] of covariance matrix","%1.17g"
603,5,"ATD_COVAR05","AD_Details Covar05","rad^2/s","40","8","DFP","Element [0][5] of covariance matrix","%1.17g"
603,6,"ATD_COVAR11","AD_Details Covar11","rad^2","48","8","DFP","Element [1][1] of covariance matrix","%1.17g"
603,7,"ATD_COVAR12","AD_Details Covar12","rad^2/s","56","8","DFP","Element [1][2] of covariance matrix","%1.17g"
603,8,"ATD_COVAR13","AD_Details Covar13","rad^2/s","64","8","DFP","Element [1][3] of covariance matrix","%1.17g"
603,9,"ATD_COVAR14","AD_Details Covar14","rad^2/s","72","8","DFP","Element [1][4] of covariance matrix","%1.17g"
603,10,"ATD_COVAR15","AD_Details Covar15","rad^2/s","80","8","DFP","Element [1][5] of covariance matrix","%1.17g"
603,11,"ATD_COVAR22","AD_Details Covar22","rad^2","88","8","DFP","Element [2][2] of covariance matrix","%1.17g"
603,12,"ATD_COVAR23","AD_Details Covar23","rad^2/s","96","8","DFP","Element [2][3] of covariance matrix","%1.17g"
603,13,"ATD_COVAR24","AD_Details Covar24","rad^2/s","104","8","DFP","Element [2][4] of covariance matrix","%1.17g"
603,14,"ATD_COVAR25","AD_Details Covar25","rad^2/s","112","8","DFP","Element [2][5] of covariance matrix","%1.17g"
603,15,"ATD_COVAR33","AD_Details Covar33","rad^2/s^2","120","8","DFP","Element [3][3] of covariance matrix","%1.17g"
603,16,"ATD_COVAR34","AD_Details Covar34","rad^2/s","128","8","DFP","Element [3][4] of covariance matrix","%1.17g"
603,17,"ATD_COVAR35","AD_Details Covar35","rad^2/s","136","8","DFP","Element [3][5] of covariance matrix","%1.17g"
603,18,"ATD_COVAR44","AD_Details Covar44","rad^2/s^2","144","8","DFP","Element [4][4] of covariance matrix","%1.17g"
603,19,"ATD_COVAR45","AD_Details Covar45","rad^2/s","152","8","DFP","Element [4][5] of covariance matrix","%1.17g"
603,20,"ATD_COVAR55","AD_Details Covar55","rad^2/s^2","160","8","DFP","Element [5][5] of covariance matrix","%1.17g"
604,0,"ATD_MEASTIMESunAngleSensor_Vector","AD_Resid MeasTimeSunAngleSensor_Vector","s","0","8","DFP","Measurement time of sensor updateSunAngleSensor_Vector","%1.17g"
604,1,"ATD_RESIDBDYXSunAngleSensor_Vector","AD_Resid ResidBDYXSunAngleSensor_Vector","rad","8","8","DFP","Sensor residuals in the body frameSunAngleSensor_Vector","%1.17g"
