"Function Code","Mnemonic","Long Name","Group","Number Of Parameters","Data Field Length Bytes","Description","Variable Size"
0x9c40006,"OPW_FI_BATT_PWR_VAL","ODY Power Fault Injection--Battery Power (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery power.","False"
0x9c40007,"OPW_FI_BATT_CURR_VAL","ODY Power Fault Injection--Battery Current (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery current.","False"
0x9c40008,"OPW_FI_BATT_VOLT_VAL","ODY Power Fault Injection--Battery Voltage (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery voltage.","False"
0x9c40009,"OPW_FI_BATT_CHRG_VAL","ODY Power Fault Injection--Battery SOC AHr (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery state of charge (AHr).","False"
0x9c4000a,"OPW_FI_BATT_PCT_VAL","ODY Power Fault Injection--Battery SOC % (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for battery state of charge (%).","False"
0x9c4000b,"OPW_FI_LOAD_PWR_VAL","ODY Power Fault Injection--Load Power (Value)","ODySSy Power Thermal","1","8","ODY Power--Set the fault-injected value for load power.","False"
0x1c200000,"FDM_FILE_DOWNLOAD","File Download","Command & Data Handling","1","128","File Download","False"
0x1c200001,"FDM_FILE_DOWNLOAD_PART","File Download Part","Command & Data Handling","4","140","File Download Part","False"
0x1c200002,"FDM_FILE_DOWNLOAD_CANCEL","File Download Cancel","Command & Data Handling","0","0","File Download Cancel","False"
0x1bbc0000,"FUM_FILE_UPLOAD_SETUP","File Upload Setup","Command & Data Handling","4","144","File Upload Setup","False"
0x1bbc0001,"FUM_FILE_UPLOAD_DATA","File Upload Data","Command & Data Handling","4","1040","File Upload Data","True"
0xf0020000,"FILE_NOOP","File No-OP","Command & Data Handling","0","0","File No-OP","False"
0x60000,"HWIO_NOOP","HWIO No-OP","Command & Data Handling","0","0","HWIO No-OP","False"
0x150000,"PLD_NOOP","Payloads No-OP","Command & Data Handling","0","0","Payloads No-OP","False"
0x17d40000,"FJ_START_REL","Sequence Engine Start Relative","Command Sequencing","3","256","Sequence Engine Start - Relative Time","False"
0x17d40001,"FJ_START_ABS","Sequence Engine Start Absolute","Command Sequencing","3","256","Sequence Engine Start - Absolute Time","False"
0x17d40002,"FJ_ABORT","Sequence Engine Abort","Command Sequencing","1","120","Sequence Engine Abort Sequence","False"
0x17d40003,"FJ_ABORT_ALL","Sequence Engine Abort All","Command Sequencing","0","0","Sequence Engine Abort All Sequence","False"
0x17d40004,"FJ_ABORT_ALL_EXCEPT","Sequence Engine Abort All Except","Command Sequencing","1","120","Sequence Engine Abort All Sequences except the one(s) specified","False"
0x17d40005,"FJ_LOAD","Sequence Engine Load","Command Sequencing","1","120","Sequence Engine Load Sequence","False"
0x17d40006,"FJ_UNLOAD","Sequence Engine Unload","Command Sequencing","1","120","Sequence Engine Unload Sequence","False"
0x17d40007,"FJ_SHOW_PROCS","Sequence Engine Show Procedures","Command Sequencing","0","0","Sequence Engine Show Loaded Procedures","False"
0x17d40008,"FJ_MAKE_CURRENT","Sequence Engine Make Current","Command Sequencing","3","128","Sequence Engine Make Current","False"
0x180000,"SEQ_NOOP","Sequence Engine No-OP","Command Sequencing","0","0","Sequence Engine No-OP","False"
0x1e0000,"TM_NOOP","Time No-OP","Command & Data Handling","0","0","Time No-OP","False"
0xfa00000,"TIME_SET_SCLK","Time Set SCLK","Command & Data Handling","2","6","Time set spacecraft clock","False"
0xfa00001,"TIME_SET_UTC_MINUS_SCLK","Time Set UTC - SCLK","Command & Data Handling","1","8","Time set UTC minus spacecraft clock","False"
0xfa00002,"TIME_SET_GPS_MINUS_SCLK","Time Set GPS - SCLK","Command & Data Handling","1","8","Time set GPS minus spacecraft clock","False"
